,Occurrence
nan,639
agile,96
git,53
version,49
control,49
ci/cd,29
prototyping,27
github,21
scrum,17
d3,14
integration,9
continuous,9
development,8
incremental,8
software,7
programming,7
oop,7
object-oriented,5
gitlab,4
tdd,3
sbd,1
literate,1
lean,1
functional,1
